4.153724117176761377e-01,4.868813755611042793e-02,-1.233602878855794699e-02
4.142900630733100664e-01,-5.765539509847596167e-02,-2.541654040200280393e-02
-4.297704714043421581e-01,4.405674668516847137e-02,3.830252920783455695e-02
-4.281976626834783639e-01,-4.837634293456354040e-02,4.850580595969415654e-02
1.261304247967817982e-01,1.113279976593426479e-01,5.026798007843485266e-03
-1.242125222055338318e-01,1.109094406240831582e-01,-1.875342820274345651e-02
9.290398568586119565e-02,-1.111176684437769346e-01,-1.630160534461988497e-02
-1.269150572656889131e-01,-1.117196303988280126e-01,-1.140838280009386085e-02
9.886349450151760143e-02,5.627021022679588869e-02,7.734193144661653807e-02
-1.226710781671386391e-01,-8.011819734648059285e-03,8.040690884060762433e-02
-1.985754321937142630e-01,1.043185386114089813e-01,-4.598510970834047279e-02
-2.013335126215001769e-01,1.121965804280366519e-01,-1.061909277837274658e-03
-1.898033053497708011e-01,1.033913460085984504e-01,6.972452855672546523e-02
-1.437733253688819324e-01,1.066842860129891685e-01,-4.024112782226117041e-02
-1.371596957851332899e-01,1.122241003136709020e-01,1.119701448693713290e-02
-1.492469848645093800e-01,1.038812224313980237e-01,6.463526508050526642e-02
-9.134993435946622831e-02,1.065027200493204734e-01,-4.085227964454860722e-02
-9.243709078305691051e-02,1.122341995481137555e-01,5.029402385964170871e-03
-8.549268502263812630e-02,1.124976650488086621e-01,5.364948525966110882e-02
-2.199251524071521580e-02,1.064161758946589736e-01,-4.123875956312694768e-02
-3.955492404253211497e-02,1.122104431730297502e-01,1.567551583703295434e-02
-2.841879825182159688e-02,1.045791406751818420e-01,5.579290788154905867e-02
2.272837203195865463e-02,1.048501205797801039e-01,-4.506379966337799997e-02
1.343848076061122075e-02,1.121448161360271423e-01,4.718837341868719996e-03
1.809870228372350426e-02,1.068720943038940357e-01,5.279279937386312238e-02
8.051025729988023349e-02,1.068247470906905916e-01,-4.033640926364794044e-02
7.887485440617558741e-02,1.074474078955011125e-01,1.030458942411251536e-02
8.495969787109258764e-02,1.051205924914225542e-01,6.065224545127774480e-02
1.263933146993644896e-01,1.025078383706094776e-01,-4.853324708145512201e-02
1.395205932159801765e-01,1.076187215667529506e-01,6.667709215898578491e-03
1.342002865595735561e-01,1.048952902937695109e-01,6.114990703083460905e-02
1.964898690804453563e-01,1.040774737204342437e-01,-4.641210175488127282e-02
1.883211121173985758e-01,1.076928589738812281e-01,7.110179715534566819e-03
1.952622027951527173e-01,1.090351776104561410e-01,4.102453091580092470e-02
-2.112445088306867114e-01,-1.084456316986034397e-01,-3.486456011355042184e-02
-2.082798359689589096e-01,-9.438620930211577553e-02,9.912854375512560740e-03
-2.003111144566031288e-01,-1.052231602406655253e-01,6.401577783917662690e-02
-1.537441588201696741e-01,-1.044202462379163754e-01,-4.581680193103430943e-02
-1.412684539352600799e-01,-1.058219999999999994e-01,2.226802751180313733e-02
-1.453683346730423598e-01,-1.124536724868057114e-01,5.097694272616119099e-02
-8.045221425533841120e-02,-1.040821234562572944e-01,-4.636388718144027199e-02
-9.347995864102276453e-02,-1.122240185575362481e-01,2.896151594853695836e-03
-8.721704664109891647e-02,-1.137392249900150004e-01,6.242166508385079554e-02
-4.123565019347157079e-02,-1.070481336667853667e-01,-3.943761369356496571e-02
-2.817790334147373885e-02,-1.122090894654125259e-01,1.274287648760860647e-02
